article_id,title,authors
1855796,Trusted computing and provenance: better together,John Lyle;Andrew Martin
1855797,Towards a secure and efficient system for end-to-end provenance,Patrick McDaniel;Kevin Butler;Steve McLaughlin;Radu Sion;Erez Zadok;Marianne Winslett
1855798,Towards query interoperability: PASSing PLUS,Uri J. Braun;Margo I. Seltzer;Adriane Chapman;Barbara Blaustein;M. David Allen;Len Seligman
1855799,Provenance artifact identification in the atmospheric composition processing system (ACPS),Curt Tilmes;Yelena Yesha;Milton Halem
1855800,Panda: a system for provenance and data,Robert Ikeda;Jennifer Widom
1855801,Towards practical incremental recomputation for scientists: an implementation for the Python language,Philip J. Guo;Dawson Engler
1855802,Using provenance to extract semantic file attributes,Daniel Margo;Robin Smogor
1855803,A graph model of data and workflow provenance,Umut Acar;Peter Buneman;James Cheney;Jan Van Den Bussche;Natalia Kwasnikowska;Stijn Vansummeren
1855804,A conceptual model and predicate language for data selection and projection based on provenance,David W. Archer;Lois M. L. Delcambre
1855805,On the use of abstract workflows to capture scientific process provenance,Paulo Pinheiro Da Silva;Leonardo Salayandia;Nicholas Del Rio;Ann Q. Gates
1855806,Provenance-based belief,Adriane Chapman;Barbara Blaustein;Chris Elsaesser
1858160,What's NExT?: Sensor + Cloud!?,Kian-Lee Tan
1858162,Provenance-based trustworthiness assessment in sensor networks,Hyo-Sang Lim;Yang-Sae Moon;Elisa Bertino
1858163,Facilitating fine grained data provenance using temporal data model,Mohammad R. Huq;Andreas Wombacher;Peter M. G. Apers
1858164,Processing nested complex sequence pattern queries over event streams,Mo Liu;Medhabi Ray;Elke A. Rundensteiner;Daniel J. Dougherty;Chetan Gupta;Song Wang;Ismail Ari;Abhay Mehta
1858166,Query-driven data collection and data forwarding in intermittently connected mobile sensor networks,Wei Wu;Hock Beng Lim;Kian-Lee Tan
1858167,DEMS: a data mining based technique to handle missing data in mobile sensor network applications,Le Gruenwald;Md. Shiblee Sadik;Rahul Shukla;Hanqing Yang
1858168,PAO: power-efficient attribution of outliers in wireless sensor networks,Nikos Giatrakos;Yannis Kotidis;Antonios Deligiannakis
1858170,Future directions in sensor data management: a panel discussion,Demetris Zeinalipour
1858173,HCI and environmental sustainability: the politics of design and the design of politics,Paul Dourish
1858174,A tale of two publics: democratizing design at the margins,Christopher A. Le Dantec;Jim E. Christensen;Mark Bailey;Robert G. Farrell;Jason B. Ellis;Catalina M. Danis;Wendy A. Kellogg;W. Keith Edwards
1858175,Participatory sensing in public spaces: activating urban surfaces with sensor probes,Stacey Kuznetsov;Eric Paulos
1858177,ResearchWave: an ambient visualization for providing awareness of research activities,Uta Hinrichs;Danyel Fisher;Nathalie Henry Riche
1858178,"Social distance, mobility and place: global and intimate genres in geo-tagged photographs of Guguletu, South Africa",Marion Walton
